frowning,fraʊnɪɳ
booyong,bujɔɳ
cbr,sibɜ
cd4,kbfɔr
monsoon,mɑnsun
arguably,ɑrgjuʌbli
cd8,sidɪt
genus sciaenops,dʒɛnʌstʃænɑps
haber-bosch process,hæbɜbɔʃprɔsɛs
oblivious,ʌblɪviʌs
stock of record,stɑkɔfrɪkɔrd
pianoforte,piænoʊfɔrteɪ
covetous,kʌvʌtʌs
ccc,kk
furfuraldehyde,fɜfɜældʌhaɪd
vaticinate,vætɪsʌneɪt
costing,kɔstɪɳ
big bend,bɪgbɛnd
domestic sheep,dʌmɛstʌkʃip
spontaneous,spɑnteɪniʌs
upholstery material,ʌpoʊlstɜimʌtɪriʌl
chicken yard,tʃɪkʌnjɑrd
genus photinia,dʒɛnjʌsfoʊtiniʌ
roil,rɔɪl
gloomy,glumi
ocean state,oʊʃʌnsteɪt
inheritrix,ɪnhɛrʌtrɪks
carbon monoxide gas,kɑrbʌnmʌnɑksaɪdgʌz
gnetum gnemon,nitʌmgnmʌn
phylum cryptophyta,faɪlʌmkrɪptɑfaɪtʌ
copyist,kɑpiɪst
deference,dɛfɜʌns
flying drainpipe,flaɪɪɳdreɪnpaɪp
cdc,sidis
scleroderma,sklɪrʌdɜmʌ
sivaism,sɪveɪzʌm
abies grandis,eɪbizgrændɪs
dope sheet,doʊpʃit
cf.,kf
form letter,fɔrmlɛtɜ
mobile canteen,moʊbʌlʌkæntin
fraxinus cuspidata,fræksinʌskʌspʌdɑtʌ
zymurgy,zaɪmɜdʒi
compiling program,kʌmpaɪlɪɳproʊgræm
ethnic group,ɛθnɪkgrup
jumper lead,dʒʌmpɜlid
reef knot,rifnɑt
vanilla orchid,vʌnɪlʌɔrkʌd
milk glass,mɪlkglæs
genus notophthalmus,dʒɛnjʌsnoʊtoʊfθælmɪs
basilican,bʌsɪlʌkʌn
family mugilidae,fæmʌlimjudʒʌlɪdeɪ
leppy,lɛpi
rolf,roʊlf
vicia cracca,vɪʃʌkrækʌ
role,roʊl
indian corn,ɪndiænkɔrn
lunisolar calendar,lunɪsoʊlɑrkɑleɪndɑr
venae palpebrales,vɛnʌpælpʌbrɑlɛs
genus picus,dʒinʌspʌkʌs
hoder,hoʊdɜ
roll,roʊl
common duckweed,kɑmʌndʌkwid
hamburger steak,hæmbɜgɜsteɪk
ceo,sioʊ
divergency,daɪvɜdʒʌnsi
orczy,ɔrtʃi
autumn sneezeweed,ɔtʌmsnizwid
cer,sɜ
paramagnet,pærʌmægnɛt
gikuyu,gɪkuju
service road,sɜvɪsɜoʊd
off-the-rack,ɔfθɜʌk
genus microgramma,dʒɛnjʌsmaɪkroʊgræmʌ
groundsheet,graʊndʃit
kinswoman,kɪnswʊmʌn
academic year,ækʌdɛmɪkjɪr
cfc,siɛk
binomial theorem,baɪnoʊmiʌltɪrʌm
durrell,dʊrʌl
tabletop,teɪbʌltɑp
commonness,kɑmʌnnʌs
decapitate,dikæpʌteɪt
gall wasp,gɔlwæsp
tupek,tupɪk
cfo,kfoʊ
falcatifolium taxoides,fælkætʌfoʊliʌmtæksoʊaɪdz
lazy daisy stitch,læzɪdeɪsɪstɪtʃ
viverricula indica,vivɜɪkjʌleɪndɪkʌ
cargo hatch,kɑrgoʊhætʃ
stumblebum,stʌmbʌlbʌm
enchantment,ɛntʃæntmʌnt
peptide linkage,pɛptaɪdlɪɳkɪdʒ
labetalol,lʌbɛtʌlɔl
dogged,dɔgd
sand fly,sændfli
noneffervescent,nɑnɪfɜvɛsʌnt
essayer,ɛseɪɜ
bitterweed,bɪtɜwid
herzberg,hɜzbɜg
heart-whole,hɑrtwoʊl
halacha,hʌlætʃʌ
gothic architecture,gɑθɪkɑrkʌtɛktʃɜ
whisky neat,wɪskɪnit
derate,dɛrʌt
chloe anthony wofford,kloʊiʌnθʌniwɑfɜd
bass fiddle,bæsfɪdʌl
cgs,kgz
parka squirrel,pɑrkʌskwɜʌl
quarter mile,kwɔrtɜmaɪl
apnoeic,æpnuʌk
beatnik,bitnɪk
snowy heron,snoʊɪhɛrʌn
cantaloupe vine,kæntʌloʊpvaɪn
romp,rɑmp
copying,kɑpiɪɳ
serious,sɪriʌs
muntiacus,mʌntiækɪs
jagannatha,dʒægɑnɑθʌ
parlour grand,pɑrlɜgrænd
rome,roʊm
phalaenoptilus,fʌlænɑptʌlʌs
roma,roʊmʌ
chi,ki
pothos,pɑthoʊz
willem de kooning,wɪlɛmdʌkunɪɳ
genus capricornis,dʒɛnjʌskæprʌkɔrnɪs
shadowing,ʃædoʊɪɳ
divergence,daɪvɜdʒʌns
roneograph,roʊniʌgræf
affixation,ʌfɪkseɪʃʌn
lath and plaster,læθʌndplæstɜ
abatement of a nuisance,ʌbeɪtmʌntoʊfɑnusʌns
cia,siʌ
cucumis melo inodorus,kukjumɪzmɪlɔɪnʌdɔrʌs
john kenneth galbraith,dʒɑnkɛnʌθgælbreɪθ
polo pony,pɑlʌpoʊni
aldol,ɑldʌl
cid,sɪd
ill-treated,ɪltritɪd
immotile,ɪmoʊtʌl
ascend,ʌsɛnd
mother goose,mʌðɜgus
cim,sɪm
rope,roʊp
cio,tʃoʊ
pyrocephalus,paɪroʊsɛfʌlʌs
sawbuck,sɔbʌk
book fair,bʊkfɛr
hostelry,hɑstʌlri
polysemy,pɑlisɛmi
cis,sɪs
madrasah,mædrʌsɑ
nicotinamide adenine dinucleotide,nɪkʌtinʌmideɪɑdɛnɪnɪdɪnukliʌtaɪd
weather strip,wɛðɜstrɪp
single-foot,sɪɳgʌlfʊt
throw in the towel,θroʊɪnθtaʊʌl
ascent,ʌsɛnt
lepus,lɛpʌs
blossom forth,blɑsʌmfɔrθ
root,rut
edward benjamin britten,ɛdwɔrdbɛndʒʌmʌnbrɪtʌn
bush honeysuckle,bʊʃhʌnisʌkʌl
cjd,kd
enquiringly,ɪnkwaɪrɪɳli
jean-baptiste poquelin,ʒɛnbʌptɪstpoʊkeɪlɪn
roof,ruf
chef's salad,ʃɛfszʌlæd
vena hepatica,vɛnɑhʌpætɪkʌ
greyness,greɪnʌs
macrame,mækrʌmeɪ
lechwe,lɛtʃw
external carotid,ɛkstɜnælkɜɑtɪd
four-hundredth,fɔrhʌndrʌdθ
rood,rud
jawaharlal nehru,dʒʌwɑhɑrlælneɪru
rook,rʊk
featherweight,fɛðɜweɪt
pisanosaur,pisɑnʌsɔr
room,rum
teleostei,tiliɔstaɪ
glycerol tristearate,glɪsɜoʊltrɪstɛrʌt
lichanura,lɪtʃʌnʊrʌ
printing shop,prɪntɪɳʃɑp
abelard,æbɪlɜd
dried milk,dridmɪlk
floorshow,flɔrʃoʊ
peter carl goldmark,pitɜkɑrlgoʊldmɑrk
game equipment,geɪmikwɪpmʌnt
metaphosphoric acid,mɛtʌfɔsfɜɪkæsʌd
disinvest,dɪsɪnvɛst
colombian monetary unit,kʌlʌmbiʌnmɑnʌtɛriʌnɪt
jew's-ear,dʒuzɪr
subfamily corylaceae,sʌbfæmʌlikɔrɪleɪʃʌ
unprogressive,ʌnprʌgrɛsɪv
nerve block anesthesia,nɜvblɑkɪnɪsθiʒʌ
bestride,bɪstraɪd
predisposed,pridɪspoʊzd
pianola,piænoʊlʌ
psychotropic agent,saɪkʌtrɑpɪkʌdʒʌnt
trade wind,treɪdʌwɪnd
wood hyacinth,wʊdhaɪʌsɪnθ
cobalamin,koʊbɔlʌmɪn
saint-john's-bread,seɪntdʒɑnɛnzbrɛd
abreact,ʌbriækt
executor,ɪgzɛkjʌtɜ
time deposit,taɪmdɪpɑzɪt
costive,kɑstɪv
punctuated equilibrium,pʌɳktʃueɪtɪdʌkwʌlɪbriʌm
ectothermic,ɛktoʊθɜmɪk
particoloured,pɜtɪkʌlɜd
inhalation anesthetic,ɪnʌleɪʃʌnænʌsθɛtɪk
intropin,ɪntrʌpɪn
garlicky,gɑrlɪki
morphophonemic,mɔrfʌfoʊnimɪk
microcomputer,maɪkroʊkʌmpjutɜ
order,ɔrdɜ
cli,kli
skimmer,skɪmɜ
possessiveness,pʌzɛsɪvnʌs
partialness,pɑrʃʌlnɛs
genus hipposideros,dʒɛnjʌʃʌpɑzɪdɜoʊz
malpighia,mælpigiʌ
clv,klv
skimmed,skɪmd
elizabeth haldane,ɛlɪzʌbiθhɑldeɪn
clx,klks
march equinox,mɑrkɛkwʌnɑks
tankard,tæɳkɜd
vibrionic,vaɪbriɑnɪk
ropy,roʊpi
granuloma venereum,grænjʌlʌmævinɜiʌm
phosphorescent,fɑsfɜɛsʌnt
linguistic communication,lɪɳgwɪstɪkkʌmjunʌkeɪʃʌn
derangement,dɪreɪndʒmʌnt
john herschel glenn jr.,dʒɑnhɜʃʌlglɛnʒɑr
quantitative relation,kwɑntɪteɪtʌvɜʌleɪʃʌn
cmb,km
submandibular gland,sʌbmændɪbjulɜglʌnd
valley white oak,væliwaɪtoʊk
rotl,rɑtʌl
down town,daʊntaʊn
visual agnosia,vɪʒwʌlɑgnoʊsiʌ
asteriated,ʌstirieɪtɪd
roth,rɔθ
hexahedron,hɛksʌhidrʌn
co2,sioʊt
jobholder,dʒɑbhoʊldɜ
up-country,ʌpkʌntri
cmv,siɛmv
sign-language,saɪnlæɳgwʌdʒ
inexpressive,ɪnɪksprɛsɪv
y chromosome,jkroʊmʌsoʊm
american foxhound,ʌmɛrʌkænfɑkshaʊnd
rosy,roʊzi
class diplopoda,klæsdɪplʌpoʊdʌ
prionotus,praɪɔnoʊtʌs
rotc,roʊtisi
rote,roʊt
kentucky,kʌntʌki
operationally,ɑpɜeɪʃʌnʌli
rota,roʊtʌ
gamine,gʌmin
gaming,geɪmɪɳ
ross,rɑs
cns,knz
fixed-point number,fɪksʌdpɔɪntnʌmbɜ
didelphidae,dɪdɛlfɪdeɪ
snake god,sneɪkgɑd
tobacco wilt,tʌbækʌwɪlt
properly speaking,prɑpɜlispikɪɳ
seminarist,sɛmʌnɛrɪst
cob,kɑb
seven-sided,sɛvʌnsaɪdɪd
cod,kɑd
cog,kɑg
rose,roʊz
oceanographer,oʊʃʌnɑgrʌfɜ
falafel,fʌlɑfʌl
rosa,roʊzʌ
col,kɑl
weekender,wikɛndɜ
coo,ku
con,kɑn
sylvan,sɪlvʌn
cop,kɑp
peyton rous,peɪtʌnrʌs
cos,koʊz
basic assumption,beɪsɪkɑsʌmpʃʌn
bucephela clangula,bjusʌfeɪlɑklɑɳgulʌ
cot,kɑt
tuscan order,tʌskʌnɔrdɜ
cow,kaʊ
coy,kɔɪ
cox,kɑks
alder,ɔldɜ
benedictory,bɛnʌdɪktɜi
right to life,raɪttʌlaɪf
cpa,kpʌ
liegeman,lidʒmʌn
roux,ru
rove,roʊv
cpi,kpi
inchoative aspect,ɪnkoʊʌtɪvʌspɛkt
vena cystica,vɛnʌkɪstɪkʌ
orphans' asylum,ɔrfʌnzæsaɪlʌm
buckeye state,bʌkaɪsteɪt
ragnarok,rɑgnɑrʌk
cpr,kpɜ
dacridium laxifolius,dækrɪdiʌmlæksifoʊliɪs
white-man's foot,waɪtmænsfʊt
cps,kps
hopped-up,hɑpdʌp
cpu,kpu
rout,raʊt
rous,rʌs
oriolidae,ɔrioʊlideɪ
jewel orchid,dʒuʌlɔrkʌd
selenium cell,sʌliniʌmsɛl
vaticinator,vætɪsʌneɪtɜ
roue,ru
wine bottle,waɪnbɔtʌl
life vest,laɪfvʌst
pezizales,pɛzizɑlɛs
at variance,ætvɛriʌns
colonoscope,kʌloʊnʌskoʊp
tricolour,trikʌlɜ
hominian,hɑmɪniʌn
paeony,piʌni
punctiliously,pʌɳktɪliʌsli
oestriol,oʊstriʌl
thoracic aorta,θɔræsɪkɔrtʌ
trustfulness,trʌstfʌlnʌs
anagasta kuehniella,ænʌgæstʌkjuniɛlʌ
protective tariff,prʌtɛktʌvtɛrʌf
salvelinus namaycush,sɑlvɛlinʌsnʌmeɪkʌʃ
labanotation,lɑbɑnoʊteɪʃʌn
trainband,treɪnbænd
defense technical information center,dɪfɛnsɪtɛknɪkælɪnfɜmeɪʃʌnsɛntɜ
pother,pʌðɜ
primary winding,praɪmɛriwaɪndɪɳ
mishandle,mɪshændʌl
carrying into action,kæriɪɳʌntoʊækʃʌn
colonoscopy,kʌloʊnʌskoʊpi
condyloma acuminatum,kɑndɪlʌmʌkjumʌnʌtʌm
crp,krp
cro,kroʊ
kara kum,kɑrʌkʌm
american water spaniel,ʌmɛrɪkʌnwɔtɜspænjʌl
crt,krt
ingrid bergman,ɪɳgrɪdbɜgmʌn
grey substance,greɪsʌbstæns
bouteloua gracilis,butɪluɑgrʌsɪlʌs
chemical process,kɛmɪkælprɔsɛs
equalitarianism,ɪkwɑlʌtɛriʌnɪzʌm
gynogenesis,dʒɪnoʊdʒɛnʌsʌs
house of lords,haʊsoʊflɔrdz
tupik,tupɪk
maximal,mæksʌmʌl
cry,kraɪ
genus nabalus,dʒɛnjʌsnæbʌlʌs
crushed rock,krʌʃɪdrɑk
urophycis,jʊrʌfɪsʌs
cse,kz
treasonous,trizʌnʌs
doggie,dɔgi
at work,ætwɜk
gnathostome,næθʌstoʊm
cst,kst
forked lightning,fɔrkʌdlaɪtnɪɳ
knacker,nækɜ
fullness,fʊlnʌs
merluccius bilinearis,mɜlutʃʌsbɪlɪniɜɪs
shooting preserve,ʃutɪɳprʌzɜv
leukoma,lukoʊmʌ
motion sickness,moʊʃʌnsɪknʌs
carmelite,kɑrmʌlaɪt
ingloriously,ɪnglɔriʌsli
haemoglobinuria,himʌgloʊbʌnjʊriʌ
osmotic,ɑzmɑtʌk
fibreglass,faɪbrɪglæs
genetic screening,dʒʌnɛtɪkskrinɪɳ
glycyrrhiza glabra,glaɪkɜizɑglɑbrʌ
bivouacking,bɪvwækɪɳ
ctc,ktisi
lazarette,læzɜɛt
white tail,waɪtteɪl
asynclitism,eɪsɪɳklɪtɪzʌm
megabucks,mɛgʌbʌks
utility bond,jutɪlʌtibɑnd
typographical,taɪpʌgræfɪkʌl
oxygenize,ɑksʌdʒʌnaɪz
tincture of opium,tɪɳktʃɜʌvoʊpiʌm
clytocybe alba,klɪtʌsaɪbiælbʌ
cyclobenzaprine,saɪklʌbɛnzʌpraɪn
pond scum,pɑndskʌm
shote,ʃoʊt
cub,kʌb
hoop pine,hupin
cue,kju
cud,kʌd
effluent,ɛfluʌnt
mustela nivalis,mʌstɛlʌnʌvʌlʌs
magnetic flux unit,mægnɛtɪkflʌksʌnɪt
dolichocephaly,doʊlɪkoʊsɛfʌli
voltage drop,voʊltʌdʒdrɑp
cum,kʌm
cul,kʌl
haliatus albicilla,hæljʌtusɑlbʌsɪlʌ
swahili,swɑhili
cup,kʌp
cur,kɜ
sclerotium disease,sklɜoʊʃʌmdɪsiz
cut,kʌt
flying colors,flaɪɪɳkʌlɜz
sri lankan monetary unit,srilɑnkɑnmɑnʌtɛriʌnɪt
phasianidae,feɪziʌnɪdeɪ
heavy-limbed,hɛvilaɪmd
rate of depreciation,reɪtiɔfdɪpriʃieɪʃʌn
atomic clock,ʌtɑmɪkʌlʌk
scleral veins,sklɜælveɪnz
opsonize,ɑpsʌnaɪz
camp chair,kæmptʃɛr
earth-tongue,ɜθtɑɳg
stink out,stɪɳkaʊt
cva,kvʌ
holly family,hɑlɪfæmʌli
genus bauhinia,dʒinʌsbaʊiniʌ
scantling,skæntlɪɳ
microscopical,maɪkrʌskɑpɪkʌl
sense of humor,sɛnʃʌfhjumɜ
megabat,mɛgʌbæt
shout,ʃaʊt
ochotona princeps,ɑkɑtʌnæprɪnsɛps
liothyronine,laɪʌθaɪrʌnaɪn
librarian,laɪbrɛriʌn
akhenaten,ækʌnɑtʌn
lightsomely,laɪtsoʊmli
shove,ʃʌv
sleepwalk,slipwɔk
floating voter,floʊtɪɳvoʊtɜ
tittle-tattle,tɪtʌltætʌl
how-d'ye-do,haʊdjeɪdoʊ
ephedra,ɪfɛdrʌ
jim corbett,dʒɪmkɔrbɪt
rail in,reɪlɪn
hodur,hɑdɜ
cwm,kwɛm
shipmate,ʃɪpmeɪt
shebeen,ʃibin
back circle,bæksɜkʌl
cwt,kwt
echolocation,ɛkoʊloʊkeɪʃʌn
swimming hole,swɪmɪɳhoʊl
standard poodle,stændɜdpudʌl
deer hunter,dɪrhʌntɜ
panini,pʌnini
initiate,ɪnɪʃieɪt
shook,ʃʊk
cxl,kksl
genus wisteria,dʒɛnjʌswɪstɪriʌ
shoot,ʃut
emergency alert system,ɪmɜdʒʌnsiɑlɜtsɪstʌm
abbess,ʌbɛs
rotogravure,roʊtɑgrʌvjʊr
cxv,kksv
butcher cumberland,bʊtʃɜkʌmbɜlʌnd
lake champlain,lʌkɛʃɑmpleɪn
cxx,kks
archimandrite,ɑrkʌmændraɪt
bunk bed,bʌɳkbd
clatter,klætɜ
regardant,rɪgɑrdʌnt
cookware,kʊkwɛr
lepas,lɛpʌz
dexedrine,dɛksɪdrin
ives,aɪvz
give suck,gɪvʌsʌk
david bruce,deɪvɪdbrus
ground tackle,graʊndtækʌl
algophilia,ælgoʊfɪliʌ
souchong,suʃɔɳ
lapidation,læpʌdeɪʃʌn
liver rot,lɪvɜrʌt
speckless,spɛklʌs
bromberg,brɑmbɜg
barbary coast,bɑrbɜikoʊst
solanum macranthum,soʊlɑnumʌkrænðʌm
veblen,vɛbʌlʌn
hamartoma,hɑmɑrtoʊmʌ
lucy craft laney,lusɪkræftleɪni
dot matrix,dɑtmeɪtrɪks
fraxinus americana,fræksʌnɪsʌmɛrʌkænʌ
lecher,lɛtʃɜ
rackety,rækʌti
si system,sɪsɪstʌm
partial eclipse,pɑrʃʌlklɪps
fermentable,fɜmɛntʌbʌl
synchytriaceae,sɪɳkaɪtriɑtʃeɪɑ
chilling,tʃɪlɪɳ
triquetrous leek,trikɛtrʌslik
scrophularia,skroʊfjʌlɛriʌ
sight setting,saɪtsɛtɪɳ
habenaria elegans,hæbɪnɛriɛlʌgʌnz
argonauta argo,ɑrgʌnɔtɑrgoʊ
lemaireocereus,lʌmɛroʊtʃɛriʌs
araroba,ɜæroʊbʌ
muckheap,mʌkhip
semilunar bone,sɛmilunɜboʊn
formatted capacity,fɔrmætʌdkʌpæsʌti
hebdomadally,hɛbdoʊmædʌli
common winterberry holly,kɑmʌnwɪntɜbɛrihoʊli
shore,ʃɔr
short-billed,ʃɔrtbɪld
disregardless,dɪsrɪgɑrdlʌs
laying on,leɪɪɳɔn
news magazine,nuzmægʌzin
bicker,bɪkɜ
coca cola,koʊkʌkoʊlʌ
gosainthan,gɑsaɪnθʌn
shorn,ʃɔrn
cachinnation,kæʃɪneɪʃʌn
breadbasket,brɛdbæskʌt
mangifera,mɑɳgifɪrʌ
invirase,ɪnvaɪreɪz
knapsack,næpsæk
short,ʃɔrt
fair-maids-of-france,fɛrmeɪdsɔfrʌns
turmeric,tɜmʌrɪk
lubricious,lubrɪʃʌs
pyinma,paɪɪnmʌ
ejector,ɪdʒɛktɜ
poke milkweed,poʊkeɪmɪlkwid
melba toast,mɛlbʌtoʊst
abreast,ʌbrɛst
object-oriented database management system,ʌbdʒɛktɜintɛdʌtʌbeɪsmænɪdʒmʌntsɪstʌm
subjoining,sʌbdʒɔɪnɪɳ
metrically,mɛtrɪkʌli
aluminate,ʌlumʌnʌt
sadistic,sʌdɪstɪk
consistency,kʌnsɪstʌnsi
consistence,kʌnsɪstʌns
veronica serpyllifolia,vɜɑnɪkʌsɛrpɪlʌfoʊliʌ
lifeguard,laɪfgɑrd
boron counter tube,bɜoʊnkaʊntɜtub
melogale,mɛlʌgeɪl
pedunculate oak,pɛdʌɳkjʌlʌtioʊk
leper,lɛpɜ
convincing,kʌnvɪnsɪɳ
quilted,kwɪltɪd
orcus,ɔrkʌs
executive agency,ɪgzɛkjʌtɪvʌdʒʌnsi
mitigatory,mɪtʌgʌtɔri
outlawry,aʊtlɔri
serried,sɛrid
galeras,gʌlɛrʌs
efferent,ɛfɜʌnt
signet ring,sɪgnɪtɜɪɳ
woodsia ilvensis,wʊdsieɪlvɛnsʌs
tennis lesson,tɛnʌslɛsʌn
least shrew,listʃru
seriola,sɪrioʊlʌ
preventive medicine,prɪvɛntɪvmɛdʌsʌn
bacteriolytic,bæktɪriʌlɪtɪk
seminarian,sɛmʌnɛriʌn
homeobox,hoʊmioʊbɑks
variety meat,vɜaɪʌtimit
oxygenise,ɑksʌdʒʌnaɪz
total depravity,toʊtʌldɪprævʌti
andromeda polifolia,ændrɑmʌdʌpɑlʌfoʊliʌ
change taste,tʃeɪndʒʌteɪst
luxembourg city,lʌksʌmbɔrgsɪti
fulmar petrel,fʊlmɑrpɛtrʌl
songful,sɔɳfʌl
crutch,krʌtʃ
oxybelis,ɑksibɛlɪs
fingerpaint,fɪɳgɜpeɪnt
alphonse capone,ælfɑnsʌkɑpoʊni
skopje,skɔpjɛ
megabit,mɛgʌbɪt
performer,pɜfɔrmɜ
test tube,tɛsttjub
family elapidae,fæmʌlilæpʌdaɪ
maxilla,mæksɪlʌ
sangaree,sæɳgɜi
ackee,æki
ethnographer,ɛθnɑgrʌfɜ
prepositional object,pripʌzɪʃʌnælʌbdʒɛkt
teleostan,tiliʌstæn
crampbark,kræmpbɑrk
prevalent,prɛvʌlʌnt
didactically,daɪdæktɪkli
microbrewery,maɪkroʊbruɜi
dab,dæb
variolization,vɛriʌlɪzeɪʃʌn
dad,dæd
xeranthemum,zɜænθʌmʌm
dah,dʌ
dag,dæg
obstacle race,ɑbstʌkʌlɜɑtʃi
italic,aɪtælɪk
dal,dæl
dak,dæk
dam,dæm
italia,ɪtæljʌ
joss house,dʒɑshaʊs
euglenoid,jugʌlʌnɔɪd
halocarpus bidwilli,hælʌkɑrpʌsbɪdwɪli
bedeck,bɪdɛk
dat,dæt
mountain male fern,maʊntɪnmælʌfɜn
das,dæs
law of effect,lɔvʌfɛkt
showy,ʃoʊi
daw,dɔ
order temnospondyli,ɔrdɜtʌmnɑspɑndaɪli
tar paper,tɑrpeɪpɜ
day,deɪ
meperidine,meɪpɛrɪdin
popular music,pɑpjʌlɜmjuzɪk
hand puppet,hændpʌpʌt
dba,dbʌ
mealie,mili
dairy farming,dɛrifɑrmɪɳ
california tree poppy,kælɪfɔrnjʌtripɑpi
exhaust pipe,ɪgzɔstpaɪp
william nunn lipscom jr.,wɪljʌmnʌnlɪpskʌmdʒɜ
trestlework,trɛsʌlwɜk
inland sea,ɪnlændsiʌ
armed forces day,ɑrmdfɔrsɪzdeɪ
beebalm,bibɑm
pyrimidine,pɪrɪmɪdin
tryout,traɪaʊt
ethnographic,ɛθnʌgræfɪk
poison ivy,pɔɪzʌnɪvi
dci,dtʃi
disconfirming,dɪskʌnfɜmɪɳ
brimming,brɪmɪɳ
urinary calculus,jɜʌnɛrikælkjʌlʌs
strip mall,strɪpmɔl
political platform,pɑlʌtɪkælplætfɔrm
viscose rayon,vɪskɑsreɪʌn
arena theater,ɜinʌθieɪtɜ
hegemony,hidʒɛmʌni
family astacidae,fæmʌljɑstæsʌdaɪ
ddc,ddisi
sleepyhead,slipihɛd
lazaretto,lɑzɑrɛtoʊ
campanula divaricata,kɑmpɑnulædɪvɛrʌkʌtʌ
false morel,fɔlsɛmɔrʌl
chauffeur,ʃoʊfɜ
ddi,ddi
deathwatch beetle,dɛθwɑtʃbitʌl
venae sclerales,vɛnɛsklɛrɑlɛs
damaliscus lunatus,dæmʌliskuslʌnʌtʌs
dds,didiz
ddt,dt
genus limonium,dʒɛnʌzlʌmoʊniʌm
chemical attraction,kɛmɪkʌlʌtrækʃʌn
deb,dɛb
mount st. helens,maʊntsðʌlɛnz
dea,di
ded,dɛd
nihil obstat,naɪʌlɑbstæt
dec,dɛk
ivry,aɪvri
decline in quality,dɪklaɪnɪnkwɑlʌti
instigate,ɪnstʌgeɪt
blepharitis,blɛfɜɪtɪs
dactyloctenium,dæktɪlɑktiniʌm
den,dɛn
wheel lock,wilʌk
tramcar,træmkɑr
standard pressure,stændɜdprɛʃɜ
karl menninger,kɜlmɛnɪɳɜ
des,dɛs
springless,sprɪɳlʌs
potato wart,pʌteɪtoʊwɔrt
genus ascaphus,dʒɛnjʌsʌskæfʌs
dew,du
lemon meringue pie,lɛmʌnmɛrɪɳpi
swamp cypress,swɑmpsiprɪs
articular,ɑrtɪkjʌlɜ
creaseproof,krispruf
carpet knight,kɑrpʌtnaɪt
heart line,hɑrtlaɪn
whipper,wɪpɜ
tomentous,toʊmɛntʌs
ledbetter,lɛdbɜtɜ
whippet,wɪpʌt
joint hinge,dʒɔɪnthɪndʒ
tai yuan,taɪjuɑn
sleek down,slikdaʊn
forecourt,fɔrkɔrt
crookedly,krʊkʌdli
impact,ɪmpækt
shock,ʃɑk
planoconcave,pleɪnoʊkɑnkeɪv
frost heave,frɔsθiv
persea borbonia,pɜsibɜboʊniʌ
nonionic,nɑniɑnɪk
devanagari script,dɪvænʌgærʌskrɪpt
mealworm,milwɜm
bargain-priced,bɑrgɪnpraɪst
great grandfather,greɪtgrændfɑðɜ
equisetum variegatum,ɛkwʌzitʌmvɛrɪgeɪtʌm
spermatid,spɜmʌtɪd
spermatic,spɜmætɪk
myosotis sylvatica,maɪʌsoʊtizilveɪtɪkʌ
poetess,poʊʌtʌs
reassured,riʌʃʊrd
family euglenaceae,fæmʌliugʌlʌneɪsiʌ
treatment,tritmʌnt
tomentose,toʊmɛntoʊs
won ton,wʌntʌn
chemiluminescence,kɛmʌlumʌnɛsʌns
diapensia family,daɪpɛnziʌfæmʌli
genus geranium,dʒɛnjʌsɪdʒɜeɪniʌm
cocksureness,kɑksɜnʌs
genus picris,dʒinʌspɪkrɪs
car race,kærʌs
katharine houghton hepburn,kæθrɪnhaʊtʌnhɛpbɜn
homiletical,hɑmʌlɛtɪkʌl
vineyard,vɪnjɜd
perigone,pɛrɪgɔn
volcano,vɑlkeɪnoʊ
allopurinol,ælʌpjʊrɪnɔl
shoed,ʃud
sun-worship,sʌnwɜʃɪp
form class,fɔrmklæs
eisenstaedt,aɪzʌnstæt
natural process,nætʃɜʌlprɔsɛs
anisotremus surinamensis,ænʌsoʊtrʌmʌʃɜɪnʌmɛnsʌs
radiigera fuscogleba,reɪdiidʒɛrʌfuskoʊgʌlbʌ
curie point,kjʊripɔɪnt
monodontidae,mɑnʌdɑntɪdeɪ
pargetting,pɑrdʒɛtɪɳ
federal agent,fɛdɜʌleɪdʒʌnt
leone,lioʊn
shoes,ʃuz
calycanthus,kʌlɪkɑnθuz
subclinical,sʌbklɪnɪkʌl
cutoff saw,kʌtɔfsɔ
unpresidential,ʌnprɛzʌdɛnʃʌl
medal of honor,mɛdʌlɔfhɑnɜ
advertising division,ædvɜtaɪzɪɳdɪvɪʒʌn
naval special warfare,nɑvɑlspɛʃʌlwɔrfɛr
maximum,mæksʌmʌm
dia,diʌ
stickup,stɪkʌp
guru nanak,gurunɑnʌk
class thaliacea,klæsθælieɪʃʌ
die,di
fragrant,freɪgrʌnt
dig,dɪg
holystone,hoʊlistoʊn
semi-climbing,sɛmiklaɪmɪɳ
din,dɪn
dim,dɪm
dip,dɪp
allelic,ʌlɛlɪk
general delivery,dʒɛnɛrʌldɪlɪvɜi
dit,dɪt
maple family,meɪpʌlfæmʌli
dis,dɪs
procyon,prʌsaɪʌn
dix,dɪks
femoris,fɛmɜɪs
limestone,laɪmstoʊn
phlogopite,flɑgʌpaɪt
fish louse,fɪʃlaʊs
sand eel,sændil
sidelight,saɪdlaɪt
hume cronyn,hjumkrʌnɪn
leathery,lɛðɜi
sigmoid vein,sɪgmɔɪdveɪn
impair,ɪmpɛr
maniacally,mʌnaɪʌkʌli
port vila,pɔrtvilʌ
ribes uva-crispa,ribɛsuvækrʌspʌ
soft flag,sɔftflæg
beta globulin,bɛtæglɑbjʌlɪn
